기준월,토픽ID,토픽명,제목,날짜,URL
2021-08,토픽2,코로나 방역·지자체 행정,"전북도, 5643억 규모의 제2회 추경 편성",2021-08-24,https://www.asiae.co.kr/article/2021082411574829443
2021-08,토픽2,코로나 방역·지자체 행정,"김 총리 ""코로나 다시 2000명대 10명 中 9명 '델타변이'""(상보)",2021-08-25,https://www.asiae.co.kr/article/2021082509031488921
2021-08,토픽2,코로나 방역·지자체 행정,"오세훈 ""여야 떠나 정부 지자체가 코로나19 차단 협력체계 갖춰야""",2021-08-27,https://www.asiae.co.kr/article/2021082715300304428
2021-08,토픽3,최저임금·노사 협상,"소공연 4대 회장에 오세희 후보 ""벼랑 끝 소상공인 살릴 것""",2021-08-31,https://www.asiae.co.kr/article/2021083116521292149
2021-08,토픽3,최저임금·노사 협상,달리며 배우는 '런(Run) 런(Learn) 서대문' 독립공원 코스 운영,2021-08-26,https://www.asiae.co.kr/article/2021082610273842636
2021-08,토픽3,최저임금·노사 협상,'서민의 발' 서울지하철 멈춰 설까?...“서울교통공사 살릴 근본 대책 마련해야”,2021-08-24,https://www.asiae.co.kr/article/2021082415363537575
2021-08,토픽3,최저임금·노사 협상,"김 총리, 보건노조 총파업 예고에 ""인력확충 공감 머리 맞대고 해결하자""",2021-08-31,https://www.asiae.co.kr/article/2021083110203583183
2021-08,토픽3,최저임금·노사 협상,성동구 ‘2022학년도 수시대비 대학 토크 콘서트’ 개최,2021-08-23,https://www.asiae.co.kr/article/2021082307034688435
2021-08,토픽4,지역화폐·소비쿠폰,함양사랑상품권 10% 특별할인 판매  지역 상권 활성화,2021-08-31,https://www.asiae.co.kr/article/2021083113310860541
2021-08,토픽4,지역화폐·소비쿠폰,추석맞이 순천사랑상품권 150억원 10% 특별할인판매,2021-08-31,https://www.asiae.co.kr/article/2021083114571435116
2021-08,토픽4,지역화폐·소비쿠폰,"진주시, 진주사랑상품권 250억원 추가 발행  골목상권 회복",2021-08-30,https://www.asiae.co.kr/article/2021083016445354521
2021-08,토픽4,지역화폐·소비쿠폰,"창원상의, 상반기 이어 하반기도 '희망 선결제 캠페인' 동참",2021-08-24,https://www.asiae.co.kr/article/2021082413470270177
2021-08,토픽4,지역화폐·소비쿠폰,남원시 ‘노후간판 교체 지원사업’ 추진,2021-08-30,https://www.asiae.co.kr/article/2021083015103023645
2021-08,토픽5,물가·민생 거시대책,"중소기업계 ""금리인상 결정 우려 유동성 위기로 中企 쓰러질 수도""",2021-08-26,https://www.asiae.co.kr/article/2021082610401669940
2021-08,토픽5,물가·민생 거시대책,"계란값 잡은 기재차관, 이번엔 소 돼지고기 가격 잡는다",2021-08-27,https://www.asiae.co.kr/article/2021082709080464668
2021-08,토픽5,물가·민생 거시대책,"기재차관 ""테이퍼링 이슈 파급력 제한적 확대 가능성 경계""",2021-08-31,https://www.asiae.co.kr/article/2021083108434298429
2021-08,토픽5,물가·민생 거시대책,"""中企 수출 늘지만 운임 상승 가능성 자영업자 대책 마련해야""",2021-08-29,https://www.asiae.co.kr/article/2021082921142603397
2021-08,토픽5,물가·민생 거시대책,"세종시, 노후경유차 650대 조기폐차 추가 지원",2021-08-24,https://www.asiae.co.kr/article/2021082409535227639
2021-08,토픽6,온라인 플랫폼·디지털 지원,"다날 페이코인, 지자체 결제서비스 활용",2021-08-31,https://www.asiae.co.kr/article/2021083107315175949
2021-08,토픽6,온라인 플랫폼·디지털 지원,강남구 ‘라이브커머스’로 중소기업 중국 진출 돕는다,2021-08-31,https://www.asiae.co.kr/article/2021083107442000223
2021-08,토픽6,온라인 플랫폼·디지털 지원,"쿠팡, 소통 채널 확대 소설미디어 정비",2021-08-30,https://www.asiae.co.kr/article/2021083009063329763
2021-08,토픽6,온라인 플랫폼·디지털 지원,"""숨고는 차별화된 플랫폼 소상공인 프리랜서 성공 도울 것""",2021-08-30,https://www.asiae.co.kr/article/2021082716124767846
2021-08,토픽6,온라인 플랫폼·디지털 지원,"비케이탑스 ""엔스펙, 서울시 지자체와 메타버스 가상공간 구축 사업 추진""",2021-08-25,https://www.asiae.co.kr/article/2021082513393531651
2021-08,토픽7,상생협력·중소기업 지원,"대한상의 국가발전 프로젝트 '맛보기' 오디션, 톱7 수상작은?",2021-08-29,https://www.asiae.co.kr/article/2021082911285604015
2021-08,토픽7,상생협력·중소기업 지원,"강원창조혁신센터, '창업 창작 상공인 발굴 지원' 네이버와 협업",2021-08-30,https://www.asiae.co.kr/article/2021083017490916798
2021-08,토픽7,상생협력·중소기업 지원,"중기 옴부즈만, 문체부와 게임 관광 등 문화규제 개선",2021-08-27,https://www.asiae.co.kr/article/2021082708484049092
2021-08,토픽7,상생협력·중소기업 지원,"[2022예산안]""유망한 소상공인 키우자"" 최대 1억원 지원",2021-08-31,https://www.asiae.co.kr/article/2021083017143944661
2021-08,토픽7,상생협력·중소기업 지원,"중기부, 백년가게 백년소공인 추가 발표 366곳 선정",2021-08-26,https://www.asiae.co.kr/article/2021082611382064132
2021-09,토픽0,정치권 재난·위기 재정대응,"안철수 ""이재명, 표만 된다면 뭔 짓 할지 몰라 자타가 공인하는 포퓰리스트""",2021-09-13,https://www.asiae.co.kr/article/2021091311124123136
2021-09,토픽0,정치권 재난·위기 재정대응,"이재명 ""정부는 지금이라도 재난지원금 전국민 보편지급 나서야""",2021-09-11,https://www.asiae.co.kr/article/2021091116010397995
2021-09,토픽0,정치권 재난·위기 재정대응,"""토씨도 안 틀려"" ""공약 짬뽕"" 공약베끼기 논란 윤석열, 맹공격 당해",2021-09-23,https://www.asiae.co.kr/article/2021092319500464577
2021-09,토픽0,정치권 재난·위기 재정대응,"'시무7조' 조은산, '개 식용 금지' 검토한 文 대통령에 ""왜 하필 지금?""",2021-09-28,https://www.asiae.co.kr/article/2021092814520953329
2021-09,토픽0,정치권 재난·위기 재정대응,"손실보상제, 심의기간 단축한다 ""10월 말 지급개시 준비""",2021-09-17,https://www.asiae.co.kr/article/2021091710014869143
2021-09,토픽1,은행·금융권 소상공인 지원,"메마르는 서민 급전창구 대출 늘어난 저축銀, 문턱 높아진다(종합)",2021-09-01,https://www.asiae.co.kr/article/2021090114270956072
2021-09,토픽1,은행·금융권 소상공인 지원,"코로나에 치이고 규제에 막힌 소상공인, 저축銀 대출로 ‘연명’",2021-09-01,https://www.asiae.co.kr/article/2021090109465498138
2021-09,토픽1,은행·금융권 소상공인 지원,"국책은행들, 코로나19 취약계층 지원 확대 실탄 더 푼다(종합)",2021-09-29,https://www.asiae.co.kr/article/2021092915084513933
2021-09,토픽1,은행·금융권 소상공인 지원,"중기부, '중 저신용 소상공인 특례보증' 지원대상 확대",2021-09-19,https://www.asiae.co.kr/article/2021091716292587590
2021-09,토픽1,은행·금융권 소상공인 지원,국책은행들 코로나19 지원 위해 실탄 더 푼다,2021-09-29,https://www.asiae.co.kr/article/2021092908435202185
2021-09,토픽2,코로나 방역·지자체 행정,거리두기 완화한 대전시 '빈축' 완화 첫날 확진자 60명대,2021-09-02,https://www.asiae.co.kr/article/2021090213513918999
2021-09,토픽2,코로나 방역·지자체 행정,내달 1일 일상 회복 위한 '위드코로나' 첫 공청회 연다,2021-09-28,https://www.asiae.co.kr/article/2021092820583931901
2021-09,토픽2,코로나 방역·지자체 행정,"전주시, 4296억 증액한 제2차 추경예산안 편성",2021-09-01,https://www.asiae.co.kr/article/2021090111023613136
2021-09,토픽2,코로나 방역·지자체 행정,"구례군, 제3회 추경예산안 5797억원 편성 1635억원 증가",2021-09-07,https://www.asiae.co.kr/article/2021090715390989244
2021-09,토픽2,코로나 방역·지자체 행정,대전 거리두기 3단계로 하향 모든 시설 집합금지 해제,2021-09-01,https://www.asiae.co.kr/article/2021090110361225554
2021-09,토픽3,최저임금·노사 협상,[포토] 소상공인 자영업자 의견 듣는 김부겸 총리,2021-09-27,https://www.asiae.co.kr/article/2021092716125349608
2021-09,토픽3,최저임금·노사 협상,[포토] 대화하는 김부겸 총리와 권칠승 장관,2021-09-27,https://www.asiae.co.kr/article/2021092716133055657
2021-09,토픽3,최저임금·노사 협상,[포토] 소상공인 자영업자 간담회 나선 김부겸 총리,2021-09-27,https://www.asiae.co.kr/article/2021092716115838509
2021-09,토픽3,최저임금·노사 협상,[포토] 발언하는 김부겸 총리,2021-09-27,https://www.asiae.co.kr/article/2021092716121143707
2021-09,토픽3,최저임금·노사 협상,"‘떡국 떡볶이떡, 대기업은 금지’ 5년간 생계형 적합업종 지정",2021-09-03,https://www.asiae.co.kr/article/2021090306490341729
2021-09,토픽4,지역화폐·소비쿠폰,"정읍시, 추석 전에 '농어민 공익수당' 지역화폐 지급",2021-09-07,https://www.asiae.co.kr/article/2021090711194562397
2021-09,토픽4,지역화폐·소비쿠폰,"나주시, 추석 맞이 ‘전통시장 상점가 장보는 날’ 운영",2021-09-07,https://www.asiae.co.kr/article/2021090717461060453
2021-09,토픽4,지역화폐·소비쿠폰,"진주시, 소상공인들 경영환경 개선사업 추진",2021-09-22,https://www.asiae.co.kr/article/2021092213530560237
2021-09,토픽4,지역화폐·소비쿠폰,"강북구, 추석맞이 강북사랑상품권 추가발행",2021-09-04,https://www.asiae.co.kr/article/2021090423031835888
2021-09,토픽4,지역화폐·소비쿠폰,"노원구, 지역경제 살리는 ‘노원사랑상품권’ 3차 추가 발행",2021-09-11,https://www.asiae.co.kr/article/2021091110131552925
2021-09,토픽5,물가·민생 거시대책,"기재차관 ""금리인상기, 불확실성 확대 우려 리스크 관리에 만전""",2021-09-23,https://www.asiae.co.kr/article/2021092308563479811
2021-09,토픽5,물가·민생 거시대책,"홍남기 ""사과 등 16대 추석성수품 쌀 가격, 공급 늘린 후 안정세""",2021-09-14,https://www.asiae.co.kr/article/2021091416325671017
2021-09,토픽5,물가·민생 거시대책,"정부, 부총리 주재 녹실회의 ""취약업종 어려움 보완 고용 확대""",2021-09-15,https://www.asiae.co.kr/article/2021091509224333365
2021-09,토픽5,물가·민생 거시대책,"한은 ""금리인상 사이클 진입 추가 인상은 경기회복에 달려""",2021-09-09,https://www.asiae.co.kr/article/2021090914082387583
2021-09,토픽5,물가·민생 거시대책,"홍남기 ""단기 주택공급 확대, 민간 역할 중요 방안 검토""",2021-09-13,https://www.asiae.co.kr/article/2021091314574314852
2021-09,토픽6,온라인 플랫폼·디지털 지원,"아성다이소, 국가유공자 사회취약계층에 행복박스 전달",2021-09-16,https://www.asiae.co.kr/article/2021091608553828947
2021-09,토픽6,온라인 플랫폼·디지털 지원,"얍엑스, 서울고속버스터미널 지하쇼핑몰 위치기반 토탈 IoT 인프라 구축",2021-09-15,https://www.asiae.co.kr/article/2021091514392146067
2021-09,토픽6,온라인 플랫폼·디지털 지원,"“추석 제수용품 구매하세요” 마켓컬리, 대형마트보다 10% 저렴",2021-09-17,https://www.asiae.co.kr/article/2021091709293956081
2021-09,토픽6,온라인 플랫폼·디지털 지원,[기하영의 생활 속 카드]국민지원금 A to Z 사용처부터 카드혜택까지,2021-09-12,https://www.asiae.co.kr/article/2021091219291551672
2021-09,토픽6,온라인 플랫폼·디지털 지원,"KB국민카드 ""8일 오후 7시 라이브커머스서 '청년떡집' 상품 사세요""",2021-09-07,https://www.asiae.co.kr/article/2021090710015593450
2021-09,토픽7,상생협력·중소기업 지원,"소진공, 지역대학 6곳과 '소상공인 온라인 특성화 대학' 운영",2021-09-07,https://www.asiae.co.kr/article/2021090710385391245
2021-09,토픽7,상생협력·중소기업 지원,"중진공-소진공-KOTRA, 소상공인 글로벌화 돕는다",2021-09-01,https://www.asiae.co.kr/article/2021090108463777324
2021-09,토픽7,상생협력·중소기업 지원,"롯데면세점, 'LDF 스타럽스' 청년기업 3기 발대식 진행",2021-09-01,https://www.asiae.co.kr/article/2021090109433358820
2021-09,토픽7,상생협력·중소기업 지원,'수출 두드림' 기업 300개사 모집,2021-09-27,https://www.asiae.co.kr/article/2021092708330936250
2021-09,토픽7,상생협력·중소기업 지원,소상공인 투자유치 돕는 '쇼케이스데이' 12일까지 참가 모집,2021-09-03,https://www.asiae.co.kr/article/2021090311111287612
2021-10,토픽0,정치권 재난·위기 재정대응,"윤석열 ""'문재명' 세력과 투쟁하겠다 정권교체 도구로 써달라"" [전문]",2021-10-28,https://www.asiae.co.kr/article/2021102810544383634
2021-10,토픽0,정치권 재난·위기 재정대응,이재명 ‘음식점총량제’ “당장 시행하겠다는 건 아니고 고민 필요는 있어”,2021-10-28,https://www.asiae.co.kr/article/2021102811243803606
2021-10,토픽0,정치권 재난·위기 재정대응,"이재명 ""소상공인 자영업자 손실보상 80%, 대폭 강화해야""",2021-10-08,https://www.asiae.co.kr/article/2021100821450897282
2021-10,토픽0,정치권 재난·위기 재정대응,"이재명 '음식점 총량제'에 조은산 ""장사도 국가 허락받아야? 정신 나간 소리""",2021-10-28,https://www.asiae.co.kr/article/2021102808525367107
2021-10,토픽0,정치권 재난·위기 재정대응,"이준석 ""이재명 음식점 총량제? 아무말 대잔치""",2021-10-28,https://www.asiae.co.kr/article/2021102808055442360
2021-10,토픽1,은행·금융권 소상공인 지원,가계대출 못늘리니 기업대출로 시중은행 中企 의존도 ‘껑충’,2021-10-28,https://www.asiae.co.kr/article/2021102808565306257
2021-10,토픽1,은행·금융권 소상공인 지원,가계대출 조이니 은행들 기업대출 성과 껑충(종합),2021-10-28,https://www.asiae.co.kr/article/2021102815385705769
2021-10,토픽1,은행·금융권 소상공인 지원,"폐업 소상공인 재기 돕는다 인천시, 226억 '브릿지보증' 시행",2021-10-18,https://www.asiae.co.kr/article/2021101812020871822
2021-10,토픽1,은행·금융권 소상공인 지원,3분기 실적발표 앞둔 은행권 금리 모멘텀으로 호실적 예고,2021-10-11,https://www.asiae.co.kr/article/2021101117040684431
2021-10,토픽1,은행·금융권 소상공인 지원,"농협 우리銀, 대출 상품 '우대금리' 축소 폐지",2021-10-24,https://www.asiae.co.kr/article/2021102408351566958
2021-10,토픽2,코로나 방역·지자체 행정,"순천시, 위드코로나 전환 일상회복과 실물경제 회복에 집중",2021-10-26,https://www.asiae.co.kr/article/2021102614062576458
2021-10,토픽2,코로나 방역·지자체 행정,"전주시, 코로나19 일상회복지원단 가동",2021-10-25,https://www.asiae.co.kr/article/2021102512275705231
2021-10,토픽2,코로나 방역·지자체 행정,"허석 순천시장, 전국 지자체 최초로 위드 코로나 전환 선포",2021-10-22,https://www.asiae.co.kr/article/2021102213025612598
2021-10,토픽2,코로나 방역·지자체 행정,"순천시, 일상회복추진단 운영 돌입",2021-10-25,https://www.asiae.co.kr/article/2021102515162876983
2021-10,토픽2,코로나 방역·지자체 행정,"김 총리 ""현행 거리두기 2주 더 유지 사적모임 인원제한도 그대로""(상보)",2021-10-01,https://www.asiae.co.kr/article/2021100109195296172
2021-10,토픽3,최저임금·노사 협상,"[포토]성장현 용산구청장, 노사 단체교섭 상견례 가져",2021-10-07,https://www.asiae.co.kr/article/2021100722071942789
2021-10,토픽3,최저임금·노사 협상,[포토]민주노총 총파업 찬반 대자보 붙은 연대 학생회관 게시판,2021-10-18,https://www.asiae.co.kr/article/2021101815274261694
2021-10,토픽3,최저임금·노사 협상,[포토]민주노총 총파업 찬반 의견 대자보 붙은 대학 게시판,2021-10-18,https://www.asiae.co.kr/article/2021101815452482644
2021-10,토픽3,최저임금·노사 협상,[포토]대학 게시판에 붙은 '민주노총 총파업' 찬반 대자보,2021-10-18,https://www.asiae.co.kr/article/2021101815461002949
2021-10,토픽3,최저임금·노사 협상,"서울시, 고액체납자 압류차량 28대 2차 공매 체납건수 655건",2021-10-21,https://www.asiae.co.kr/article/2021102108030350789
2021-10,토픽4,지역화폐·소비쿠폰,노원구 공릉동 도깨비시장 안심디자인 지원,2021-10-09,https://www.asiae.co.kr/article/2021100910162664999
2021-10,토픽4,지역화폐·소비쿠폰,나주사랑상품권 ‘10%할인 판매’ 종료 예정,2021-10-19,https://www.asiae.co.kr/article/2021101917115817816
2021-10,토픽4,지역화폐·소비쿠폰,"창원시, 코리아세일페스타 맞춰 '착한소비 시즌2 창원블랙위크' 진행",2021-10-20,https://www.asiae.co.kr/article/2021102012124405448
2021-10,토픽4,지역화폐·소비쿠폰,"진주시, 진주사랑상품권 110억원 추가 발행",2021-10-25,https://www.asiae.co.kr/article/2021102514573431667
2021-10,토픽4,지역화폐·소비쿠폰,"남원사랑상품권, 지역경제 활성화 효과 ‘톡톡’",2021-10-15,https://www.asiae.co.kr/article/2021101513425325276
2021-10,토픽5,물가·민생 거시대책,"[2021 국감]홍남기 ""가계부채 관리, 필요시 추가방안 강구""",2021-10-05,https://www.asiae.co.kr/article/2021100511044488151
2021-10,토픽5,물가·민생 거시대책,내달 유류세 20% 인하 재고 소진 후 실제 효과는 월말 돼야,2021-10-26,https://www.asiae.co.kr/article/2021102610380373196
2021-10,토픽5,물가·민생 거시대책,9月 생산 1.3%↑ 백신접종률 높아지자 소비도 6개월만 최대폭 뛰어,2021-10-29,https://www.asiae.co.kr/article/2021102908365010637
2021-10,토픽5,물가·민생 거시대책,"정부, 물류대란 해소 위해 선박 추가 투입 무역금융 지원도 확대",2021-10-27,https://www.asiae.co.kr/article/2021102715013834817
2021-10,토픽5,물가·민생 거시대책,국고채 단기물 중심 발행 축소 필요시 긴급 바이백,2021-10-28,https://www.asiae.co.kr/article/2021102816274457016
2021-10,토픽6,온라인 플랫폼·디지털 지원,"도시공유플랫폼, 판교에 2호 무인편의점 개점  연내 10호점 목표",2021-10-19,https://www.asiae.co.kr/article/2021101911483393899
2021-10,토픽6,온라인 플랫폼·디지털 지원,"LG유플, 고객 소통 라이브 쿡방 'U+유럽맛집' 진행",2021-10-25,https://www.asiae.co.kr/article/2021102509573622406
2021-10,토픽6,온라인 플랫폼·디지털 지원,"신한카드, '테이블매니저'와 전략적 제휴 ""소상공인 서비스 강화""",2021-10-08,https://www.asiae.co.kr/article/2021100808275432753
2021-10,토픽6,온라인 플랫폼·디지털 지원,"백종원 '연돈' 강남 상륙 ""계획 없다면서"" VS ""논란 과하다""",2021-10-03,https://www.asiae.co.kr/article/2021100316081979625
2021-10,토픽6,온라인 플랫폼·디지털 지원,"식자재 정보 불균형 해결 도도 카트, ‘거래처 찾기’ 서비스 개시",2021-10-19,https://www.asiae.co.kr/article/2021101909343449506
2021-10,토픽7,상생협력·중소기업 지원,"코웨이, '2021 DDP 디자인페어'서 혁신 제품 선보여",2021-10-20,https://www.asiae.co.kr/article/2021102015394284903
2021-10,토픽7,상생협력·중소기업 지원,"TIPA, 지역 중소기업에 '안전패키지 서비스' 지원 나서",2021-10-21,https://www.asiae.co.kr/article/2021102020143371256
2021-10,토픽7,상생협력·중소기업 지원,"포스코인터, 중기부 '자상한기업'에 선정 '중소기업 해외 진출 지원'",2021-10-14,https://www.asiae.co.kr/article/2021101411432949217
2021-10,토픽7,상생협력·중소기업 지원,"포스코인터내셔널, 300억 상생기금 中企 지원 '자상한기업' 선정",2021-10-14,https://www.asiae.co.kr/article/2021101409043425228
2021-10,토픽7,상생협력·중소기업 지원,"산단공, 성과공유제 협력이익공유제 지원 확대",2021-10-19,https://www.asiae.co.kr/article/2021101910051162668
2021-11,토픽0,정치권 재난·위기 재정대응,"이재명, '전국민 재난지원금 반대' 尹에 ""부자 나라에 가난한 국민, 온당한 일이냐""",2021-11-08,https://www.asiae.co.kr/article/2021110808092105395
2021-11,토픽0,정치권 재난·위기 재정대응,박완주 “전국민 재난지원금 검토 시작 방식은 재정당국과 논의해야”,2021-11-02,https://www.asiae.co.kr/article/2021110214042638619
2021-11,토픽0,정치권 재난·위기 재정대응,"野 ""정부 여당, 이재명 선거 지원 예산만 증액 시도""",2021-11-29,https://www.asiae.co.kr/article/2021112916013712300
2021-11,토픽0,정치권 재난·위기 재정대응,"이재명 ""전국민 재난지원금→소상공인 지원"" 급선회한 까닭은?",2021-11-18,https://www.asiae.co.kr/article/2021111820040236031
2021-11,토픽0,정치권 재난·위기 재정대응,"경기도, 배출가스 5등급 차량 내년 3월까지 '운행 제한'",2021-11-28,https://www.asiae.co.kr/article/2021112813325281531
2021-11,토픽1,은행·금융권 소상공인 지원,"중기부, 중 저신용 소상공인 특례보증 제도 개편 지원 대상 확대",2021-11-28,https://www.asiae.co.kr/article/2021112812244820997
2021-11,토픽1,은행·금융권 소상공인 지원,"농협은행, 개인사업자 위한 모바일 전용 대출 출시",2021-11-18,https://www.asiae.co.kr/article/2021111809245905527
2021-11,토픽1,은행·금융권 소상공인 지원,[초동시각]금융시장에서 벌어지는 상식과 다른 현상,2021-11-11,https://www.asiae.co.kr/article/2021111113584264677
2021-11,토픽1,은행·금융권 소상공인 지원,"""소상공인 돕는다"" 카드사, 개인사업자용 카드 잇딴 출시",2021-11-26,https://www.asiae.co.kr/article/2021112610493074324
2021-11,토픽1,은행·금융권 소상공인 지원,"하나은행, 소상공인 위한 '하나 소호 아카데미' 시행",2021-11-30,https://www.asiae.co.kr/article/2021113011110335204
2021-11,토픽2,코로나 방역·지자체 행정,"방역패스 유효기간 접종후 6개월 논의 ""청소년 방역패스 격론""",2021-11-26,https://www.asiae.co.kr/article/2021112613240287769
2021-11,토픽2,코로나 방역·지자체 행정,"[전문가 5人진단] 방역패스냐, 거리두기냐 전문가들 의견도 엇갈려",2021-11-26,https://www.asiae.co.kr/article/2021112610471153427
2021-11,토픽2,코로나 방역·지자체 행정,"해남군, 코로나19 일상회복추진단 운영",2021-11-01,https://www.asiae.co.kr/article/2021110109551937545
2021-11,토픽2,코로나 방역·지자체 행정,"전북도, 9조1013억 규모의 2022년 예산안 편성",2021-11-11,https://www.asiae.co.kr/article/2021111115373274610
2021-11,토픽2,코로나 방역·지자체 행정,"김영록 전남지사 ""'단계적 일상회복' 개인 방역수칙 준수해 달라""",2021-11-01,https://www.asiae.co.kr/article/2021110112020110026
2021-11,토픽3,최저임금·노사 협상,용산구 종합행정타운 부설주차장 24시간 개방한 이유?,2021-11-02,https://www.asiae.co.kr/article/2021110208264818018
2021-11,토픽3,최저임금·노사 협상,정원오 성동구청장과 직원 160여명 영화 ‘왕십리 김종분’ 단체관람한 까닭?,2021-11-22,https://www.asiae.co.kr/article/2021112207325415392
2021-11,토픽3,최저임금·노사 협상,"서울시 동북권 패션 봉제산업 발전協, 봉제업체 숙원 원단폐기물 처리 공동대응 합의",2021-11-13,https://www.asiae.co.kr/article/2021111322111377152
2021-11,토픽3,최저임금·노사 협상,"""최저임금, 업종별 구분적용 도입 논의 필요""",2021-11-18,https://www.asiae.co.kr/article/2021111813050872622
2021-11,토픽3,최저임금·노사 협상,[포토]‘제14회 마포나루 새우젓축제’ 개막,2021-11-05,https://www.asiae.co.kr/article/2021110520180190023
2021-11,토픽4,지역화폐·소비쿠폰,"용인시, 12월 지역화폐 사용하면 최대 3만원 인센티브",2021-11-30,https://www.asiae.co.kr/article/2021113007204920928
2021-11,토픽4,지역화폐·소비쿠폰,"""사랑의 온도 함께 올려요” ...용산구 '따뜻한 겨울나기' 성금품 모금 시작",2021-11-15,https://www.asiae.co.kr/article/2021111506520464262
2021-11,토픽4,지역화폐·소비쿠폰,"무주군, 무주사랑상품권 구매한도 상향",2021-11-02,https://www.asiae.co.kr/article/2021110211201195695
2021-11,토픽4,지역화폐·소비쿠폰,"함양군, ‘함양사랑상품권’ 제로페이 구매행사 시행",2021-11-05,https://www.asiae.co.kr/article/2021110515542170282
2021-11,토픽4,지역화폐·소비쿠폰,나주시 ‘소상공인 일상회복 지원금’ 신청 접수,2021-11-23,https://www.asiae.co.kr/article/2021112316210028909
2021-11,토픽5,물가·민생 거시대책,"기재차관 ""98% 국민은 종부세와 무관 일각의 우려 과장돼""(종합)",2021-11-19,https://www.asiae.co.kr/article/2021111908292421835
2021-11,토픽5,물가·민생 거시대책,"기재차관 ""98% 국민은 종부세와 무관해 과장된 우려""",2021-11-19,https://www.asiae.co.kr/article/2021111908225180665
2021-11,토픽5,물가·민생 거시대책,"""무분별 돈풀기, 물가상승 부추겨 시장은 대혼란""",2021-11-15,https://www.asiae.co.kr/article/2021111510584846294
2021-11,토픽5,물가·민생 거시대책,"""물가 너마저"" '성장률 4%' 비상등 켜졌다",2021-11-02,https://www.asiae.co.kr/article/2021110209400222467
2021-11,토픽5,물가·민생 거시대책,"홍남기 ""소상공인 손실보상 하한액 상향조정 검토"" 10만원서 오른다",2021-11-24,https://www.asiae.co.kr/article/2021112419454677296
2021-11,토픽6,온라인 플랫폼·디지털 지원,"""한국은 좁다, 큰물에서 놀자"" 소상공인 해외 진출 돕는 쇼피코리아",2021-11-25,https://www.asiae.co.kr/article/2021112210515588396
2021-11,토픽6,온라인 플랫폼·디지털 지원,"네이버, 스마트플레이스 사업자센터 전면 개편 SME 온라인 확장 돕는다",2021-11-12,https://www.asiae.co.kr/article/2021111211163683329
2021-11,토픽6,온라인 플랫폼·디지털 지원,"SKT 2.0 이끄는 유영상 대표 ""2025년 매출 22조 목표""",2021-11-01,https://www.asiae.co.kr/article/2021110114294274418
2021-11,토픽6,온라인 플랫폼·디지털 지원,똑똑해지는 오프라인 매장 디지털 전환 이끄는 ‘리테일 테크’ 주목,2021-11-06,https://www.asiae.co.kr/article/2021110612071708801
2021-11,토픽6,온라인 플랫폼·디지털 지원,"K쇼핑, ‘제주 라이브 페스타’ “특산품 초특가 판매”",2021-11-04,https://www.asiae.co.kr/article/2021110409574247880
2021-11,토픽7,상생협력·중소기업 지원,"소진공, 충청권 공공기관과 청년 취업 역량 강화 '취업 WEEK' 개최",2021-11-23,https://www.asiae.co.kr/article/2021112307203225824
