기준월,토픽ID,토픽명,비중(%),문서수
2022-04,토픽1,은행·금융권 소상공인 지원,10.3,280
2022-04,토픽2,코로나 방역·지자체 행정,17.7,280
2022-04,토픽3,최저임금·노사 협상,10.2,280
2022-04,토픽4,지역화폐·소비쿠폰,13.2,280
2022-04,토픽5,물가·민생 거시대책,10.1,280
2022-04,토픽6,온라인 플랫폼·디지털 지원,9.6,280
2022-04,토픽7,상생협력·중소기업 지원,15.0,280
2022-05,토픽0,정치권 재난·위기 재정대응,22.7,312
2022-05,토픽1,은행·금융권 소상공인 지원,8.4,312
2022-05,토픽2,코로나 방역·지자체 행정,13.5,312
2022-05,토픽3,최저임금·노사 협상,10.8,312
2022-05,토픽4,지역화폐·소비쿠폰,10.7,312
2022-05,토픽5,물가·민생 거시대책,11.8,312
2022-05,토픽6,온라인 플랫폼·디지털 지원,10.6,312
2022-05,토픽7,상생협력·중소기업 지원,11.4,312
2022-06,토픽0,정치권 재난·위기 재정대응,11.8,224
2022-06,토픽1,은행·금융권 소상공인 지원,10.6,224
2022-06,토픽2,코로나 방역·지자체 행정,10.7,224
2022-06,토픽3,최저임금·노사 협상,17.4,224
2022-06,토픽4,지역화폐·소비쿠폰,10.6,224
2022-06,토픽5,물가·민생 거시대책,11.8,224
2022-06,토픽6,온라인 플랫폼·디지털 지원,11.0,224
2022-06,토픽7,상생협력·중소기업 지원,16.0,224
2022-07,토픽0,정치권 재난·위기 재정대응,8.6,324
2022-07,토픽1,은행·금융권 소상공인 지원,17.5,324
2022-07,토픽2,코로나 방역·지자체 행정,15.1,324
2022-07,토픽3,최저임금·노사 협상,12.7,324
2022-07,토픽4,지역화폐·소비쿠폰,10.6,324
2022-07,토픽5,물가·민생 거시대책,14.4,324
2022-07,토픽6,온라인 플랫폼·디지털 지원,8.9,324
2022-07,토픽7,상생협력·중소기업 지원,12.1,324
2022-08,토픽0,정치권 재난·위기 재정대응,10.6,324
2022-08,토픽1,은행·금융권 소상공인 지원,14.3,324
2022-08,토픽2,코로나 방역·지자체 행정,12.2,324
2022-08,토픽3,최저임금·노사 협상,10.5,324
2022-08,토픽4,지역화폐·소비쿠폰,13.1,324
2022-08,토픽5,물가·민생 거시대책,11.5,324
2022-08,토픽6,온라인 플랫폼·디지털 지원,13.8,324
2022-08,토픽7,상생협력·중소기업 지원,14.0,324
2022-09,토픽0,정치권 재난·위기 재정대응,11.1,277
2022-09,토픽1,은행·금융권 소상공인 지원,16.1,277
2022-09,토픽2,코로나 방역·지자체 행정,8.5,277
2022-09,토픽3,최저임금·노사 협상,9.7,277
2022-09,토픽4,지역화폐·소비쿠폰,13.6,277
2022-09,토픽5,물가·민생 거시대책,8.1,277
2022-09,토픽6,온라인 플랫폼·디지털 지원,14.9,277
2022-09,토픽7,상생협력·중소기업 지원,18.0,277
2022-10,토픽0,정치권 재난·위기 재정대응,12.8,227
2022-10,토픽1,은행·금융권 소상공인 지원,13.2,227
2022-10,토픽2,코로나 방역·지자체 행정,10.5,227
2022-10,토픽3,최저임금·노사 협상,11.3,227
2022-10,토픽4,지역화폐·소비쿠폰,11.2,227
2022-10,토픽5,물가·민생 거시대책,7.7,227
2022-10,토픽6,온라인 플랫폼·디지털 지원,16.8,227
2022-10,토픽7,상생협력·중소기업 지원,16.5,227
2022-11,토픽0,정치권 재난·위기 재정대응,7.6,169
2022-11,토픽1,은행·금융권 소상공인 지원,13.8,169
2022-11,토픽2,코로나 방역·지자체 행정,12.0,169
2022-11,토픽3,최저임금·노사 협상,9.6,169
2022-11,토픽4,지역화폐·소비쿠폰,12.2,169
2022-11,토픽5,물가·민생 거시대책,7.4,169
2022-11,토픽6,온라인 플랫폼·디지털 지원,18.1,169
2022-11,토픽7,상생협력·중소기업 지원,19.4,169
2022-12,토픽0,정치권 재난·위기 재정대응,8.8,190
2022-12,토픽1,은행·금융권 소상공인 지원,10.0,190
2022-12,토픽2,코로나 방역·지자체 행정,16.7,190
2022-12,토픽3,최저임금·노사 협상,9.4,190
2022-12,토픽4,지역화폐·소비쿠폰,12.9,190
2022-12,토픽5,물가·민생 거시대책,6.8,190
2022-12,토픽6,온라인 플랫폼·디지털 지원,11.5,190
2022-12,토픽7,상생협력·중소기업 지원,23.8,190
2023-01,토픽0,정치권 재난·위기 재정대응,7.3,213
2023-01,토픽1,은행·금융권 소상공인 지원,14.5,213
2023-01,토픽2,코로나 방역·지자체 행정,14.7,213
2023-01,토픽3,최저임금·노사 협상,8.9,213
2023-01,토픽4,지역화폐·소비쿠폰,21.7,213
2023-01,토픽5,물가·민생 거시대책,10.6,213
2023-01,토픽6,온라인 플랫폼·디지털 지원,9.5,213
2023-01,토픽7,상생협력·중소기업 지원,12.7,213
2023-02,토픽0,정치권 재난·위기 재정대응,11.3,210
2023-02,토픽1,은행·금융권 소상공인 지원,18.2,210
2023-02,토픽2,코로나 방역·지자체 행정,8.4,210
2023-02,토픽3,최저임금·노사 협상,10.5,210
2023-02,토픽4,지역화폐·소비쿠폰,17.5,210
2023-02,토픽5,물가·민생 거시대책,11.4,210
2023-02,토픽6,온라인 플랫폼·디지털 지원,11.9,210
2023-02,토픽7,상생협력·중소기업 지원,10.9,210
2023-03,토픽0,정치권 재난·위기 재정대응,9.5,164
2023-03,토픽1,은행·금융권 소상공인 지원,22.7,164
2023-03,토픽2,코로나 방역·지자체 행정,10.3,164
2023-03,토픽3,최저임금·노사 협상,8.7,164
2023-03,토픽4,지역화폐·소비쿠폰,12.2,164
2023-03,토픽5,물가·민생 거시대책,6.0,164
2023-03,토픽6,온라인 플랫폼·디지털 지원,12.4,164
2023-03,토픽7,상생협력·중소기업 지원,18.2,164
2023-04,토픽0,정치권 재난·위기 재정대응,8.9,163
2023-04,토픽1,은행·금융권 소상공인 지원,16.0,163
2023-04,토픽2,코로나 방역·지자체 행정,10.3,163
2023-04,토픽3,최저임금·노사 협상,8.8,163
2023-04,토픽4,지역화폐·소비쿠폰,16.3,163
2023-04,토픽5,물가·민생 거시대책,8.6,163
2023-04,토픽6,온라인 플랫폼·디지털 지원,11.7,163
2023-04,토픽7,상생협력·중소기업 지원,19.4,163
2023-05,토픽0,정치권 재난·위기 재정대응,5.5,192
2023-05,토픽1,은행·금융권 소상공인 지원,13.2,192
2023-05,토픽2,코로나 방역·지자체 행정,7.8,192
2023-05,토픽3,최저임금·노사 협상,8.6,192
2023-05,토픽4,지역화폐·소비쿠폰,16.9,192
2023-05,토픽5,물가·민생 거시대책,7.1,192
2023-05,토픽6,온라인 플랫폼·디지털 지원,16.1,192
2023-05,토픽7,상생협력·중소기업 지원,24.8,192
2023-06,토픽0,정치권 재난·위기 재정대응,4.9,153
2023-06,토픽1,은행·금융권 소상공인 지원,12.9,153
2023-06,토픽2,코로나 방역·지자체 행정,11.0,153
2023-06,토픽3,최저임금·노사 협상,17.5,153
2023-06,토픽4,지역화폐·소비쿠폰,15.1,153
2023-06,토픽5,물가·민생 거시대책,7.5,153
2023-06,토픽6,온라인 플랫폼·디지털 지원,14.4,153
2023-06,토픽7,상생협력·중소기업 지원,16.8,153
2023-07,토픽0,정치권 재난·위기 재정대응,8.3,208
2023-07,토픽1,은행·금융권 소상공인 지원,16.4,208
2023-07,토픽2,코로나 방역·지자체 행정,6.9,208
2023-07,토픽3,최저임금·노사 협상,12.4,208
2023-07,토픽4,지역화폐·소비쿠폰,14.0,208
2023-07,토픽5,물가·민생 거시대책,8.4,208
2023-07,토픽6,온라인 플랫폼·디지털 지원,15.0,208
2023-07,토픽7,상생협력·중소기업 지원,18.6,208
2023-08,토픽0,정치권 재난·위기 재정대응,6.7,172
2023-08,토픽1,은행·금융권 소상공인 지원,15.3,172
2023-08,토픽2,코로나 방역·지자체 행정,7.4,172
2023-08,토픽3,최저임금·노사 협상,8.9,172
2023-08,토픽4,지역화폐·소비쿠폰,16.8,172
2023-08,토픽5,물가·민생 거시대책,8.9,172
2023-08,토픽6,온라인 플랫폼·디지털 지원,14.7,172
2023-08,토픽7,상생협력·중소기업 지원,21.3,172
2023-09,토픽0,정치권 재난·위기 재정대응,5.2,186
2023-09,토픽1,은행·금융권 소상공인 지원,15.9,186
2023-09,토픽2,코로나 방역·지자체 행정,6.9,186
2023-09,토픽3,최저임금·노사 협상,8.2,186
2023-09,토픽4,지역화폐·소비쿠폰,22.2,186
2023-09,토픽5,물가·민생 거시대책,8.6,186
2023-09,토픽6,온라인 플랫폼·디지털 지원,16.2,186
2023-09,토픽7,상생협력·중소기업 지원,16.7,186
2023-10,토픽0,정치권 재난·위기 재정대응,13.0,138
2023-10,토픽1,은행·금융권 소상공인 지원,8.5,138
2023-10,토픽2,코로나 방역·지자체 행정,7.9,138
2023-10,토픽3,최저임금·노사 협상,7.9,138
2023-10,토픽4,지역화폐·소비쿠폰,15.5,138
2023-10,토픽5,물가·민생 거시대책,9.0,138
2023-10,토픽6,온라인 플랫폼·디지털 지원,15.5,138
2023-10,토픽7,상생협력·중소기업 지원,22.7,138
2023-11,토픽0,정치권 재난·위기 재정대응,12.3,210
2023-11,토픽1,은행·금융권 소상공인 지원,17.7,210
2023-11,토픽2,코로나 방역·지자체 행정,13.2,210
2023-11,토픽3,최저임금·노사 협상,12.3,210
2023-11,토픽4,지역화폐·소비쿠폰,12.9,210
2023-11,토픽5,물가·민생 거시대책,8.1,210
2023-11,토픽6,온라인 플랫폼·디지털 지원,10.0,210
2023-11,토픽7,상생협력·중소기업 지원,13.4,210
2023-12,토픽0,정치권 재난·위기 재정대응,9.9,202
2023-12,토픽1,은행·금융권 소상공인 지원,11.2,202
2023-12,토픽2,코로나 방역·지자체 행정,12.9,202
2023-12,토픽3,최저임금·노사 협상,9.8,202
2023-12,토픽4,지역화폐·소비쿠폰,11.0,202
2023-12,토픽5,물가·민생 거시대책,9.2,202
2023-12,토픽6,온라인 플랫폼·디지털 지원,10.5,202
2023-12,토픽7,상생협력·중소기업 지원,25.4,202
2024-01,토픽0,정치권 재난·위기 재정대응,10.9,272
2024-01,토픽1,은행·금융권 소상공인 지원,18.2,272
2024-01,토픽2,코로나 방역·지자체 행정,12.4,272
2024-01,토픽3,최저임금·노사 협상,10.4,272
2024-01,토픽4,지역화폐·소비쿠폰,18.1,272
2024-01,토픽5,물가·민생 거시대책,8.4,272
2024-01,토픽6,온라인 플랫폼·디지털 지원,8.7,272
2024-01,토픽7,상생협력·중소기업 지원,12.9,272
2024-02,토픽0,정치권 재난·위기 재정대응,12.7,224
2024-02,토픽1,은행·금융권 소상공인 지원,23.7,224
2024-02,토픽2,코로나 방역·지자체 행정,7.8,224
2024-02,토픽3,최저임금·노사 협상,9.2,224
2024-02,토픽4,지역화폐·소비쿠폰,18.3,224
2024-02,토픽5,물가·민생 거시대책,6.9,224
2024-02,토픽6,온라인 플랫폼·디지털 지원,11.0,224
2024-02,토픽7,상생협력·중소기업 지원,10.5,224
2024-03,토픽0,정치권 재난·위기 재정대응,10.2,177
2024-03,토픽1,은행·금융권 소상공인 지원,21.2,177
2024-03,토픽2,코로나 방역·지자체 행정,9.8,177
2024-03,토픽3,최저임금·노사 협상,9.6,177
2024-03,토픽4,지역화폐·소비쿠폰,14.8,177
2024-03,토픽5,물가·민생 거시대책,6.8,177
2024-03,토픽6,온라인 플랫폼·디지털 지원,8.9,177
2024-03,토픽7,상생협력·중소기업 지원,18.7,177
2024-04,토픽0,정치권 재난·위기 재정대응,9.0,241
2024-04,토픽1,은행·금융권 소상공인 지원,16.2,241
2024-04,토픽2,코로나 방역·지자체 행정,7.8,241
2024-04,토픽3,최저임금·노사 협상,8.6,241
2024-04,토픽4,지역화폐·소비쿠폰,15.7,241
2024-04,토픽5,물가·민생 거시대책,6.3,241
2024-04,토픽6,온라인 플랫폼·디지털 지원,14.4,241
2024-04,토픽7,상생협력·중소기업 지원,21.9,241
2024-05,토픽0,정치권 재난·위기 재정대응,8.1,199
2024-05,토픽1,은행·금융권 소상공인 지원,14.6,199
2024-05,토픽2,코로나 방역·지자체 행정,7.7,199
2024-05,토픽3,최저임금·노사 협상,8.4,199
2024-05,토픽4,지역화폐·소비쿠폰,18.2,199
2024-05,토픽5,물가·민생 거시대책,6.4,199
2024-05,토픽6,온라인 플랫폼·디지털 지원,10.6,199
2024-05,토픽7,상생협력·중소기업 지원,26.1,199
2024-06,토픽0,정치권 재난·위기 재정대응,8.8,165
2024-06,토픽1,은행·금융권 소상공인 지원,13.9,165
2024-06,토픽2,코로나 방역·지자체 행정,11.5,165
2024-06,토픽3,최저임금·노사 협상,9.2,165
2024-06,토픽4,지역화폐·소비쿠폰,13.0,165
2024-06,토픽5,물가·민생 거시대책,9.3,165
2024-06,토픽6,온라인 플랫폼·디지털 지원,12.4,165
2024-06,토픽7,상생협력·중소기업 지원,21.8,165
2024-07,토픽0,정치권 재난·위기 재정대응,11.0,199
2024-07,토픽1,은행·금융권 소상공인 지원,16.2,199
2024-07,토픽2,코로나 방역·지자체 행정,8.0,199
2024-07,토픽3,최저임금·노사 협상,10.5,199
2024-07,토픽4,지역화폐·소비쿠폰,13.8,199
2024-07,토픽5,물가·민생 거시대책,15.2,199
2024-07,토픽6,온라인 플랫폼·디지털 지원,10.9,199
2024-07,토픽7,상생협력·중소기업 지원,14.3,199
2024-08,토픽0,정치권 재난·위기 재정대응,9.6,215
2024-08,토픽1,은행·금융권 소상공인 지원,16.9,215
2024-08,토픽2,코로나 방역·지자체 행정,7.2,215
2024-08,토픽3,최저임금·노사 협상,7.9,215
2024-08,토픽4,지역화폐·소비쿠폰,15.6,215
2024-08,토픽5,물가·민생 거시대책,16.5,215
2024-08,토픽6,온라인 플랫폼·디지털 지원,9.5,215
2024-08,토픽7,상생협력·중소기업 지원,16.7,215
2024-09,토픽0,정치권 재난·위기 재정대응,9.5,197
2024-09,토픽1,은행·금융권 소상공인 지원,15.1,197
2024-09,토픽2,코로나 방역·지자체 행정,6.5,197
2024-09,토픽3,최저임금·노사 협상,9.2,197
2024-09,토픽4,지역화폐·소비쿠폰,18.8,197
2024-09,토픽5,물가·민생 거시대책,10.8,197
2024-09,토픽6,온라인 플랫폼·디지털 지원,12.1,197
2024-09,토픽7,상생협력·중소기업 지원,17.9,197
2024-10,토픽0,정치권 재난·위기 재정대응,9.3,193
2024-10,토픽1,은행·금융권 소상공인 지원,14.9,193
2024-10,토픽2,코로나 방역·지자체 행정,8.7,193
2024-10,토픽3,최저임금·노사 협상,9.0,193
2024-10,토픽4,지역화폐·소비쿠폰,14.1,193
2024-10,토픽5,물가·민생 거시대책,8.9,193
2024-10,토픽6,온라인 플랫폼·디지털 지원,12.3,193
2024-10,토픽7,상생협력·중소기업 지원,22.9,193
2024-11,토픽0,정치권 재난·위기 재정대응,11.3,245
2024-11,토픽1,은행·금융권 소상공인 지원,10.3,245
2024-11,토픽2,코로나 방역·지자체 행정,16.4,245
2024-11,토픽3,최저임금·노사 협상,10.3,245
2024-11,토픽4,지역화폐·소비쿠폰,15.7,245
2024-11,토픽5,물가·민생 거시대책,9.0,245
2024-11,토픽6,온라인 플랫폼·디지털 지원,8.8,245
2024-11,토픽7,상생협력·중소기업 지원,18.2,245
2024-12,토픽0,정치권 재난·위기 재정대응,13.6,453
2024-12,토픽1,은행·금융권 소상공인 지원,8.9,453
2024-12,토픽2,코로나 방역·지자체 행정,16.0,453
2024-12,토픽3,최저임금·노사 협상,9.7,453
2024-12,토픽4,지역화폐·소비쿠폰,15.3,453
2024-12,토픽5,물가·민생 거시대책,16.3,453
2024-12,토픽6,온라인 플랫폼·디지털 지원,6.8,453
2024-12,토픽7,상생협력·중소기업 지원,13.5,453
2025-01,토픽0,정치권 재난·위기 재정대응,5.4,427
2025-01,토픽1,은행·금융권 소상공인 지원,15.9,427
2025-01,토픽2,코로나 방역·지자체 행정,17.2,427
2025-01,토픽3,최저임금·노사 협상,8.9,427
2025-01,토픽4,지역화폐·소비쿠폰,23.3,427
2025-01,토픽5,물가·민생 거시대책,9.9,427
2025-01,토픽6,온라인 플랫폼·디지털 지원,7.2,427
2025-01,토픽7,상생협력·중소기업 지원,12.2,427
2025-02,토픽0,정치권 재난·위기 재정대응,10.2,308
2025-02,토픽1,은행·금융권 소상공인 지원,18.4,308
2025-02,토픽2,코로나 방역·지자체 행정,11.2,308
2025-02,토픽3,최저임금·노사 협상,7.6,308
2025-02,토픽4,지역화폐·소비쿠폰,18.3,308
2025-02,토픽5,물가·민생 거시대책,7.8,308
2025-02,토픽6,온라인 플랫폼·디지털 지원,8.5,308
2025-02,토픽7,상생협력·중소기업 지원,18.1,308
2025-03,토픽0,정치권 재난·위기 재정대응,8.5,390
2025-03,토픽1,은행·금융권 소상공인 지원,17.0,390
2025-03,토픽2,코로나 방역·지자체 행정,10.1,390
2025-03,토픽3,최저임금·노사 협상,8.3,390
2025-03,토픽4,지역화폐·소비쿠폰,17.5,390
2025-03,토픽5,물가·민생 거시대책,10.1,390
2025-03,토픽6,온라인 플랫폼·디지털 지원,10.5,390
2025-03,토픽7,상생협력·중소기업 지원,18.0,390
2025-04,토픽0,정치권 재난·위기 재정대응,11.5,339
2025-04,토픽1,은행·금융권 소상공인 지원,13.0,339
2025-04,토픽2,코로나 방역·지자체 행정,11.3,339
2025-04,토픽3,최저임금·노사 협상,7.8,339
2025-04,토픽4,지역화폐·소비쿠폰,16.6,339
2025-04,토픽5,물가·민생 거시대책,10.5,339
2025-04,토픽6,온라인 플랫폼·디지털 지원,10.5,339
2025-04,토픽7,상생협력·중소기업 지원,18.8,339
2025-05,토픽0,정치권 재난·위기 재정대응,15.4,279
2025-05,토픽1,은행·금융권 소상공인 지원,12.6,279
2025-05,토픽2,코로나 방역·지자체 행정,10.4,279
2025-05,토픽3,최저임금·노사 협상,7.6,279
2025-05,토픽4,지역화폐·소비쿠폰,14.8,279
2025-05,토픽5,물가·민생 거시대책,9.2,279
2025-05,토픽6,온라인 플랫폼·디지털 지원,9.5,279
2025-05,토픽7,상생협력·중소기업 지원,20.4,279
2025-06,토픽0,정치권 재난·위기 재정대응,12.5,296
2025-06,토픽1,은행·금융권 소상공인 지원,14.5,296
2025-06,토픽2,코로나 방역·지자체 행정,13.2,296
2025-06,토픽3,최저임금·노사 협상,9.4,296
2025-06,토픽4,지역화폐·소비쿠폰,16.9,296
2025-06,토픽5,물가·민생 거시대책,6.6,296
2025-06,토픽6,온라인 플랫폼·디지털 지원,10.5,296
2025-06,토픽7,상생협력·중소기업 지원,16.5,296
2025-07,토픽0,정치권 재난·위기 재정대응,9.2,474
2025-07,토픽1,은행·금융권 소상공인 지원,14.9,474
2025-07,토픽2,코로나 방역·지자체 행정,11.3,474
2025-07,토픽3,최저임금·노사 협상,11.0,474
2025-07,토픽4,지역화폐·소비쿠폰,22.9,474
2025-07,토픽5,물가·민생 거시대책,5.9,474
2025-07,토픽6,온라인 플랫폼·디지털 지원,9.3,474
2025-07,토픽7,상생협력·중소기업 지원,15.5,474
2025-08,토픽0,정치권 재난·위기 재정대응,9.8,307
2025-08,토픽1,은행·금융권 소상공인 지원,16.4,307
2025-08,토픽2,코로나 방역·지자체 행정,11.0,307
2025-08,토픽3,최저임금·노사 협상,5.9,307
2025-08,토픽4,지역화폐·소비쿠폰,21.7,307
2025-08,토픽5,물가·민생 거시대책,8.1,307
2025-08,토픽6,온라인 플랫폼·디지털 지원,10.7,307
2025-08,토픽7,상생협력·중소기업 지원,16.4,307
2025-09,토픽0,정치권 재난·위기 재정대응,9.7,392
2025-09,토픽1,은행·금융권 소상공인 지원,13.7,392
2025-09,토픽2,코로나 방역·지자체 행정,8.6,392
2025-09,토픽3,최저임금·노사 협상,6.6,392
2025-09,토픽4,지역화폐·소비쿠폰,22.8,392
2025-09,토픽5,물가·민생 거시대책,8.4,392
2025-09,토픽6,온라인 플랫폼·디지털 지원,10.6,392
2025-09,토픽7,상생협력·중소기업 지원,19.5,392
2025-10,토픽0,정치권 재난·위기 재정대응,10.0,254
2025-10,토픽1,은행·금융권 소상공인 지원,14.5,254
2025-10,토픽2,코로나 방역·지자체 행정,8.8,254
2025-10,토픽3,최저임금·노사 협상,7.2,254
2025-10,토픽4,지역화폐·소비쿠폰,17.1,254
2025-10,토픽5,물가·민생 거시대책,9.0,254
2025-10,토픽6,온라인 플랫폼·디지털 지원,11.8,254
2025-10,토픽7,상생협력·중소기업 지원,21.6,254
2025-11,토픽0,정치권 재난·위기 재정대응,7.5,291
2025-11,토픽1,은행·금융권 소상공인 지원,10.0,291
2025-11,토픽2,코로나 방역·지자체 행정,16.7,291
2025-11,토픽3,최저임금·노사 협상,7.1,291
2025-11,토픽4,지역화폐·소비쿠폰,15.4,291
2025-11,토픽5,물가·민생 거시대책,6.4,291
2025-11,토픽6,온라인 플랫폼·디지털 지원,13.8,291
2025-11,토픽7,상생협력·중소기업 지원,23.2,291
2025-12,토픽0,정치권 재난·위기 재정대응,6.4,275
2025-12,토픽1,은행·금융권 소상공인 지원,12.1,275
2025-12,토픽2,코로나 방역·지자체 행정,18.4,275
2025-12,토픽3,최저임금·노사 협상,6.2,275
2025-12,토픽4,지역화폐·소비쿠폰,15.5,275
2025-12,토픽5,물가·민생 거시대책,6.3,275
2025-12,토픽6,온라인 플랫폼·디지털 지원,8.3,275
2025-12,토픽7,상생협력·중소기업 지원,26.9,275
2026-01,토픽0,정치권 재난·위기 재정대응,7.7,305
2026-01,토픽1,은행·금융권 소상공인 지원,18.2,305
2026-01,토픽2,코로나 방역·지자체 행정,16.4,305
2026-01,토픽3,최저임금·노사 협상,7.0,305
2026-01,토픽4,지역화폐·소비쿠폰,20.3,305
2026-01,토픽5,물가·민생 거시대책,6.3,305
2026-01,토픽6,온라인 플랫폼·디지털 지원,9.0,305
2026-01,토픽7,상생협력·중소기업 지원,15.2,305
2026-02,토픽0,정치권 재난·위기 재정대응,7.8,252
2026-02,토픽1,은행·금융권 소상공인 지원,18.7,252
2026-02,토픽2,코로나 방역·지자체 행정,12.2,252
2026-02,토픽3,최저임금·노사 협상,6.3,252
2026-02,토픽4,지역화폐·소비쿠폰,18.5,252
2026-02,토픽5,물가·민생 거시대책,8.7,252
2026-02,토픽6,온라인 플랫폼·디지털 지원,11.6,252
2026-02,토픽7,상생협력·중소기업 지원,16.2,252
2026-03,토픽0,정치권 재난·위기 재정대응,9.3,320
2026-03,토픽1,은행·금융권 소상공인 지원,16.0,320
2026-03,토픽2,코로나 방역·지자체 행정,11.0,320
2026-03,토픽3,최저임금·노사 협상,6.6,320
2026-03,토픽4,지역화폐·소비쿠폰,14.2,320
2026-03,토픽5,물가·민생 거시대책,15.6,320
2026-03,토픽6,온라인 플랫폼·디지털 지원,10.3,320
2026-03,토픽7,상생협력·중소기업 지원,17.1,320
2026-04,토픽0,정치권 재난·위기 재정대응,13.7,332
2026-04,토픽1,은행·금융권 소상공인 지원,10.9,332
2026-04,토픽2,코로나 방역·지자체 행정,11.5,332
2026-04,토픽3,최저임금·노사 협상,7.5,332
2026-04,토픽4,지역화폐·소비쿠폰,16.7,332
2026-04,토픽5,물가·민생 거시대책,12.1,332
2026-04,토픽6,온라인 플랫폼·디지털 지원,9.1,332
2026-04,토픽7,상생협력·중소기업 지원,18.6,332
2026-05,토픽0,정치권 재난·위기 재정대응,14.6,224
2026-05,토픽1,은행·금융권 소상공인 지원,9.4,224
2026-05,토픽2,코로나 방역·지자체 행정,9.3,224
2026-05,토픽3,최저임금·노사 협상,10.3,224
2026-05,토픽4,지역화폐·소비쿠폰,14.6,224
2026-05,토픽5,물가·민생 거시대책,9.4,224
2026-05,토픽6,온라인 플랫폼·디지털 지원,13.9,224
2026-05,토픽7,상생협력·중소기업 지원,18.6,224
2026-06,토픽0,정치권 재난·위기 재정대응,7.4,261
2026-06,토픽1,은행·금융권 소상공인 지원,11.5,261
2026-06,토픽2,코로나 방역·지자체 행정,14.8,261
2026-06,토픽3,최저임금·노사 협상,13.1,261
